"s","time"
31.781,3.308
50.094,3.31
61.25,3.312
58.094,3.314
48.438,3.316
43.969,3.318
46.875,3.32
51.656,3.322
57.156,3.324
65.906,3.326
73.844,3.328
77.312,3.33
77.125,3.332
73.406,3.334
68.812,3.336
65.344,3.338
59.781,3.34
51.156,3.342
47.312,3.344
51.812,3.346
60.719,3.348
69.844,3.35
77.531,3.352
83.062,3.354
85.062,3.356
79.156,3.358
66.531,3.36
50.625,3.362
31.438,3.364
12.781,3.366
-0.53125,3.368
-7.4375,3.37
-6.3438,3.372
2.4688,3.374
16.375,3.376
30.188,3.378
38.594,3.38
40.344,3.382
38.406,3.384
40.281,3.386
47.75,3.388
50.875,3.39
44,3.392
32.688,3.394
23.656,3.396
20.688,3.398
24.875,3.4
35.875,3.402
48.656,3.404
54.625,3.406
47.719,3.408
29.219,3.41
6.8438,3.412
-7,3.414
-8.875,3.416
-2.4062,3.418
7.25,3.42
15.969,3.422
21.219,3.424
24.312,3.426
25.219,3.428
22.969,3.43
20.625,3.432
20.906,3.434
22.156,3.436
17.594,3.438
6.1875,3.44
-3.3438,3.442
-5.9062,3.444
-3.1875,3.446
5.25,3.448
17.844,3.45
27.969,3.452
31,3.454
27.5,3.456
19.031,3.458
8.25,3.46
-0.1875,3.462
-6.875,3.464
-11.844,3.466
-10.5,3.468
-5.0625,3.47
-2.125,3.472
-0.40625,3.474
5.7812,3.476
18.406,3.478
34.219,3.48
45.688,3.482
48.875,3.484
44.656,3.486
35.625,3.488
28.719,3.49
24.281,3.492
16.281,3.494
1.6562,3.496
-17.75,3.498
-35.594,3.5
-43.688,3.502
-40.219,3.504
-33,3.506
-29.438,3.508
-27.25,3.51
-16.469,3.512
3.5938,3.514
21.781,3.516
31.469,3.518
29.312,3.52
18.906,3.522
9.5938,3.524
12.562,3.526
26.156,3.528
37.844,3.53
39.938,3.532
35.062,3.534
32.469,3.536
36.594,3.538
41.312,3.54
39.906,3.542
28.312,3.544
9.75,3.546
-5.1875,3.548
-12.5,3.55
-18.188,3.552
-24.562,3.554
-26.219,3.556
-16.094,3.558
1.4062,3.56
16.969,3.562
22.625,3.564
19.562,3.566
15.5,3.568
12.906,3.57
10.5,3.572
6.1875,3.574
-1.7812,3.576
-13.594,3.578
-26.219,3.58
-31.875,3.582
-26.531,3.584
-17.125,3.586
-10.656,3.588
-6.4688,3.59
0.28125,3.592
12.344,3.594
24.25,3.596
27.125,3.598
21.594,3.6
14.656,3.602
12.344,3.604
8.125,3.606
-4.0625,3.608
-17.562,3.61
-24.625,3.612
-23.031,3.614
-15.594,3.616
-6.1562,3.618
2.2812,3.62
7.0312,3.622
8.0938,3.624
7.9062,3.626
11.156,3.628
19.344,3.63
24.25,3.632
18.438,3.634
7.5312,3.636
2.9062,3.638
6.75,3.64
12.844,3.642
15.812,3.644
12.469,3.646
-2.0938,3.648
-26.938,3.65
-49.656,3.652
-55.812,3.654
-43.75,3.656
-22.5,3.658
-2,3.66
15.125,3.662
28.938,3.664
38.094,3.666
40.656,3.668
36.969,3.67
31.812,3.672
27.812,3.674
19.75,3.676
4.125,3.678
-15.875,3.68
-31.969,3.682
-40,3.684
-42.062,3.686
-36.938,3.688
-21.906,3.69
-5.7188,3.692
0.15625,3.694
-5.25,3.696
-13.781,3.698
-17.906,3.7
-12.125,3.702
1.1875,3.704
12.344,3.706
17.594,3.708
18.719,3.71
16.156,3.712
8.8125,3.714
-4.2188,3.716
-19.031,3.718
-27.875,3.72
-28.531,3.722
-26.906,3.724
-24.5,3.726
-23.156,3.728
-25.125,3.73
-26.656,3.732
-20.375,3.734
-8.4062,3.736
-0.5625,3.738
-2.4688,3.74
-11.5,3.742
-15.406,3.744
-11.906,3.746
-8.2812,3.748
-6.6562,3.75
-5.6875,3.752
-8.9062,3.754
-18.031,3.756
-28.562,3.758
-33.219,3.76
-30.844,3.762
-24.531,3.764
-17.406,3.766
-12.5,3.768
-9.8438,3.77
-5.4375,3.772
2.75,3.774
9,3.776
5.5625,3.778
-5.5625,3.78
-14.031,3.782
-16.625,3.784
-18.875,3.786
-25.688,3.788
-34.031,3.79
-34.562,3.792
-21.688,3.794
-5.9688,3.796
-2.3125,3.798
-13.312,3.8
-27.344,3.802
-32.5,3.804
-30.125,3.806
-27.688,3.808
-28.469,3.81
-30.969,3.812
-29.375,3.814
-22.781,3.816
-15.969,3.818
-10.906,3.82
-5.0312,3.822
4.5,3.824
12.656,3.826
11.875,3.828
-1.5,3.83
-25.094,3.832
-44.688,3.834
-49.312,3.836
-42.125,3.838
-30.031,3.84
-19.469,3.842
-16.312,3.844
-19.594,3.846
-19.406,3.848
-12.625,3.85
-4.125,3.852
6.1875,3.854
21.156,3.856
34.75,3.858
31.312,3.86
3.75,3.862
-31.906,3.864
-53.094,3.866
-50.188,3.868
-33.312,3.87
-21.438,3.872
-18.906,3.874
-16.688,3.876
-9.5312,3.878
-1.7188,3.88
0.0625,3.882
0.46875,3.884
10.531,3.886
28.062,3.888
39.531,3.89
33.469,3.892
9.9062,3.894
-17.938,3.896
-36.625,3.898
-37.812,3.9
-25.031,3.902
-15,3.904
-19.281,3.906
-36.594,3.908
-52.906,3.91
-56,3.912
-48.219,3.914
-35.656,3.916
-20.781,3.918
-8.4062,3.92
-3.1875,3.922
-6.375,3.924
-11.969,3.926
-13,3.928
-8.7812,3.93
-4.375,3.932
-5.2188,3.934
-12.656,3.936
-23.125,3.938
-35,3.94
-48.781,3.942
-60.688,3.944
-64.875,3.946
-55.375,3.948
-37.188,3.95
-25.438,3.952
-23.906,3.954
-27.844,3.956
-35.938,3.958
-43.656,3.96
-39.219,3.962
-19.469,3.964
-0.5,3.966
-0.875,3.968
-16.906,3.97
-28.812,3.972
-25.906,3.974
-14.031,3.976
-3.7188,3.978
1.5938,3.98
-0.8125,3.982
-9.9688,3.984
-24.938,3.986
-46.75,3.988
-70.219,3.99
-84.781,3.992
-86.406,3.994
-77.906,3.996
-60.438,3.998
-38.719,4
-17.75,4.002
0.84375,4.004
11.219,4.006
6.8125,4.008
-9.2812,4.01
-24.5,4.012
-34.75,4.014
-42.531,4.016
-47.25,4.018
-47.531,4.02
-43.625,4.022
-38.438,4.024
-31.562,4.026
-21.219,4.028
-9.25,4.03
-4.0312,4.032
-14.719,4.034
-38.156,4.036
-56.438,4.038
-58.969,4.04
-50.562,4.042
-40.781,4.044
-32.625,4.046
-21.188,4.048
-6.0625,4.05
5.8438,4.052
11.875,4.054
13.594,4.056
12.5,4.058
4.9375,4.06
-13.031,4.062
-37.312,4.064
-56.812,4.066
-58.969,4.068
-45.406,4.07
-29.844,4.072
-23.625,4.074
-28.75,4.076
-37.875,4.078
-43.469,4.08
-48.125,4.082
-65.75,4.084
-101.09,4.086
-130.22,4.088
-121.25,4.09
-76.125,4.092
-22.969,4.094
12.906,4.096
25.5,4.098
27.656,4.1
29.594,4.102
33.688,4.104
38.688,4.106
41.594,4.108
35.938,4.11
13.688,4.112
-21.562,4.114
-54.375,4.116
-71.562,4.118
-70.812,4.12
-56.156,4.122
-35.344,4.124
-18.875,4.126
-15.906,4.128
-26.219,4.13
-42.75,4.132
-58.688,4.134
-65.094,4.136
-56.594,4.138
-41.75,4.14
-32.812,4.142
-30.656,4.144
-27.875,4.146
-24.719,4.148
-28.25,4.15
-35.219,4.152
-31.906,4.154
-15.844,4.156
1,4.158
6.7812,4.16
-1.4375,4.162
-15.875,4.164
-23.75,4.166
-18.438,4.168
-4.8438,4.17
3.4688,4.172
-4.5938,4.174
-29.031,4.176
-56.688,4.178
-70.5,4.18
-64.812,4.182
-45.844,4.184
-24.625,4.186
-8.0938,4.188
-0.125,4.19
1.375,4.192
-0.15625,4.194
-6.2188,4.196
-12.625,4.198
-13.688,4.2
-11.438,4.202
-14.344,4.204
-25.188,4.206
-34.75,4.208
-32.406,4.21
-19.406,4.212
-6.0312,4.214
-0.21875,4.216
-0.21875,4.218
-0.125,4.22
-3.4062,4.222
-15.5,4.224
-34.031,4.226
-50.531,4.228
-55.812,4.23
-48.406,4.232
-36.688,4.234
-32.281,4.236
-38.469,4.238
-45.875,4.24
-40.688,4.242
-24.906,4.244
-14.812,4.246
-19.656,4.248
-32.656,4.25
-42.656,4.252
-48.062,4.254
-51.906,4.256
-51.438,4.258
-45.812,4.26
-41.375,4.262
-37.875,4.264
-29.344,4.266
-13.406,4.268
3.5312,4.27
12.531,4.272
11.031,4.274
3.125,4.276
-2.4688,4.278
-2.8438,4.28
-3.8438,4.282
-13.094,4.284
-28.906,4.286
-39.188,4.288
-37.344,4.29
-28.375,4.292
-20.906,4.294
-22.312,4.296
-31.812,4.298
-46.438,4.3
-59.625,4.302
-62.062,4.304
-49.844,4.306
-28.688,4.308
-9.75,4.31
1.0312,4.312
4.8438,4.314
7.7812,4.316
12.469,4.318
13.656,4.32
8.1875,4.322
-2.125,4.324
-18.531,4.326
-43.969,4.328
-74.594,4.33
-98.188,4.332
-103.41,4.334
-87.688,4.336
-57.688,4.338
-25.938,4.34
0.75,4.342
16.344,4.344
14.312,4.346
-5.6875,4.348
-31.375,4.35
-44.5,4.352
-40.125,4.354
-25.906,4.356
-14.906,4.358
-16.938,4.36
-32.375,4.362
-52.5,4.364
-62.5,4.366
-48.406,4.368
-14.219,4.37
18.312,4.372
27.875,4.374
11.344,4.376
-17.906,4.378
-40.156,4.38
-43.156,4.382
-30.844,4.384
-16.438,4.386
-11.312,4.388
-16.562,4.39
-25.438,4.392
-33.5,4.394
-39.5,4.396
-40.25,4.398
-36.75,4.4
-35.281,4.402
-35.438,4.404
-32,4.406
-23.594,4.408
-17.625,4.41
-20.969,4.412
-31.188,4.414
-39.625,4.416
-39.688,4.418
-33.781,4.42
-31.594,4.422
-33.5,4.424
-29.844,4.426
-21.938,4.428
-17.281,4.43
-14.375,4.432
-10.625,4.434
-10.5,4.436
-14.812,4.438
-21.406,4.44
-27.594,4.442
-32.75,4.444
-41,4.446
-53.719,4.448
-60.781,4.45
-52.844,4.452
-34.188,4.454
-16.625,4.456
-9.5312,4.458
-10.406,4.46
-11.031,4.462
-6.5625,4.464
-0.28125,4.466
1.5,4.468
-2.5,4.47
-11.188,4.472
-22.562,4.474
-31.562,4.476
-31.25,4.478
-19.969,4.48
-5.1875,4.482
2.7812,4.484
2.25,4.486
-4.1562,4.488
-17.656,4.49
-38.125,4.492
-57.531,4.494
-65.469,4.496
-60.594,4.498
-46.156,4.5
-28.625,4.502
-16.312,4.504
-13.969,4.506
-18.375,4.508
-23.062,4.51
-25.406,4.512
-22.219,4.514
-13.312,4.516
-8.125,4.518
-17.031,4.52
-37.812,4.522
-56.875,4.524
-64.938,4.526
-62,4.528
-48.531,4.53
-26.469,4.532
-8.5625,4.534
-6.375,4.536
-15.438,4.538
-21.875,4.54
-21.781,4.542
-21,4.544
-22.938,4.546
-28.5,4.548
-34.969,4.55
-40.281,4.552
-43.188,4.554
-41.344,4.556
-33,4.558
-19.094,4.56
-6.2812,4.562
-2.9375,4.564
-8,4.566
-11,4.568
-8.1875,4.57
-5.9688,4.572
-10.094,4.574
-18.875,4.576
-33.875,4.578
-55.438,4.58
-72.375,4.582
-67.125,4.584
-40.594,4.586
-14.156,4.588
-3.625,4.59
-4.0938,4.592
-4.6562,4.594
1.5,4.596
12.219,4.598
19.125,4.6
16.781,4.602
4.5,4.604
-16.438,4.606
-43.812,4.608
-68.562,4.61
-77.969,4.612
-67.125,4.614
-46.25,4.616
-31.406,4.618
-29.844,4.62
-37.5,4.622
-43.5,4.624
-36.031,4.626
-11.844,4.628
18.25,4.63
32.969,4.632
22.594,4.634
-0.21875,4.636
-15.5,4.638
-15.781,4.64
-7.625,4.642
-4.8438,4.644
-13.375,4.646
-30.594,4.648
-44.344,4.65
-46.562,4.652
-45.219,4.654
-42.781,4.656
-31.219,4.658
-12.812,4.66
1.0938,4.662
3.7812,4.664
0.75,4.666
-1.0938,4.668
-2.375,4.67
-8.7188,4.672
-23.375,4.674
-41.719,4.676
-50.719,4.678
-46.188,4.68
-35.188,4.682
-26,4.684
-20.719,4.686
-17.375,4.688
-12.375,4.69
-5.8438,4.692
1.4688,4.694
8,4.696
8.2188,4.698
-1.4688,4.7
-19.125,4.702
-37.5,4.704
-49,4.706
-52.938,4.708
-53.469,4.71
-51.375,4.712
-42.75,4.714
-30.375,4.716
-21.094,4.718
-14.844,4.72
-8.5,4.722
-0.9375,4.724
5.125,4.726
10.281,4.728
15.094,4.73
13.906,4.732
4.0312,4.734
-7.0625,4.736
-13.125,4.738
-17.906,4.74
-25,4.742
-32.969,4.744
-38.688,4.746
-39.906,4.748
-40.812,4.75
-45.469,4.752
-51.969,4.754
-55.812,4.756
-53.188,4.758
-44.031,4.76
-33.469,4.762
-24.906,4.764
-16.5,4.766
-5.6562,4.768
4.4375,4.77
8.0312,4.772
5,4.774
0.03125,4.776
-0.78125,4.778
0.375,4.78
-5.125,4.782
-18.375,4.784
-28.312,4.786
-30.781,4.788
-31.875,4.79
-38.719,4.792
-50.438,4.794
-59.375,4.796
-62.031,4.798
-60.062,4.8
-54.406,4.802
-46.5,4.804
-35.656,4.806
-21.25,4.808
-3.4375,4.81
16.375,4.812
29.469,4.814
30.5,4.816
29.969,4.818
40.906,4.82
59.5,4.822
74.062,4.824
76.875,4.826
70.406,4.828
59.125,4.83
42.406,4.832
19.719,4.834
-5.3438,4.836
-25.375,4.838
-29.094,4.84
-17.719,4.842
-5.3125,4.844
1.9062,4.846
8.4062,4.848
15.125,4.85
27,4.852
43.969,4.854
57.062,4.856
64.125,4.858
64.406,4.86
57.062,4.862
44.938,4.864
33.906,4.866
26.312,4.868
20.156,4.87
17.5,4.872
22.5,4.874
32.969,4.876
42.5,4.878
48.406,4.88
45.625,4.882
30.5,4.884
15.906,4.886
13.906,4.888
21.812,4.89
24.531,4.892
13.781,4.894
-2.1875,4.896
-23.688,4.898
-55.312,4.9
-78.219,4.902
-69.594,4.904
-42.031,4.906
-22.938,4.908
-17.906,4.91
-10.406,4.912
9.0625,4.914
31,4.916
43.438,4.918
42.125,4.92
33.125,4.922
18.844,4.924
-5.125,4.926
-37.5,4.928
-67,4.93
-91.156,4.932
-113.78,4.934
-122.19,4.936
-105.91,4.938
-75.094,4.94
-44.906,4.942
-24.781,4.944
-19.344,4.946
-28.844,4.948
-49.938,4.95
-65.688,4.952
-62.25,4.954
-40.969,4.956
-19.719,4.958
-14.625,4.96
-23,4.962
-34.844,4.964
-40.5,4.966
-35.156,4.968
-17.375,4.97
3.9375,4.972
7.1875,4.974
-10.625,4.976
-34.875,4.978
-54.062,4.98
-60.969,4.982
-58.969,4.984
-52.656,4.986
-42.25,4.988
-32.062,4.99
-30.344,4.992
-31.844,4.994
-31.188,4.996
-37.781,4.998
-53.906,5
-69.188,5.002
-82.312,5.004
-95.625,5.006
-96.094,5.008
-73.219,5.01
-35.781,5.012
-4.1562,5.014
6.0938,5.016
-1.9062,5.018
-11.188,5.02
-17.5,5.022
-31.219,5.024
-54.531,5.026
-73.812,5.028
-73.438,5.03
-56.625,5.032
-41.781,5.034
-50.281,5.036
-86.531,5.038
-127.88,5.04
-141.06,5.042
-117.28,5.044
-72.344,5.046
-31.75,5.048
-19.438,5.05
-33.562,5.052
-48.688,5.054
-51.969,5.056
-47.344,5.058
-38.219,5.06
-26.938,5.062
-22.219,5.064
-26.906,5.066
-41.594,5.068
-73.312,5.07
-123.72,5.072
-168.91,5.074
-166.5,5.076
-104.84,5.078
-26.375,5.08
20.656,5.082
22.188,5.084
-0.15625,5.086
-21.688,5.088
-47.312,5.09
-84.25,5.092
-104.75,5.094
-90.344,5.096
-65.719,5.098
-71.219,5.1
-115.34,5.102
-166.66,5.104
-182.53,5.106
-140.47,5.108
-60.594,5.11
9.5312,5.112
35.5,5.114
17.25,5.116
-18.438,5.118
-40.75,5.12
-41.031,5.122
-27.875,5.124
-11.094,5.126
-9.5,5.128
-41.219,5.13
-92.344,5.132
-121.94,5.134
-113.5,5.136
-91.531,5.138
-81.406,5.14
-81.25,5.142
-78.438,5.144
-70.375,5.146
-74.156,5.148
-93.719,5.15
-99.688,5.152
-72.375,5.154
-31.844,5.156
-9.0312,5.158
-13.125,5.16
-31.562,5.162
-53.438,5.164
-70.562,5.166
-80.969,5.168
-94.75,5.17
-117.97,5.172
-141.25,5.174
-148.38,5.176
-125,5.178
-79.5,5.18
-33.156,5.182
-1.7812,5.184
15.156,5.186
17.688,5.188
-2.0938,5.19
-33.469,5.192
-51.906,5.194
-56.469,5.196
-67.5,5.198
-93.812,5.2
-119.41,5.202
-123.72,5.204
-111,5.206
-100.19,5.208
-88.469,5.21
-61.75,5.212
-32.5,5.214
-35.156,5.216
-73,5.218
-106.12,5.22
-103.75,5.222
-82.938,5.224
-77.375,5.226
-92.719,5.228
-105.78,5.23
-103.25,5.232
-87.219,5.234
-69.125,5.236
-59.469,5.238
-66,5.24
-82.188,5.242
-93.062,5.244
-94.969,5.246
-95.625,5.248
-95.281,5.25
-86.562,5.252
-68.875,5.254
-64.344,5.256
-90,5.258
-121.44,5.26
-117.19,5.262
-77.125,5.264
-41.281,5.266
-43.219,5.268
-70.562,5.27
-87.969,5.272
-74.156,5.274
-42.531,5.276
-30.75,5.278
-57.375,5.28
-100.72,5.282
-126.38,5.284
-121.72,5.286
-94.938,5.288
-62.594,5.29
-30.812,5.292
3.7188,5.294
27.656,5.296
14.062,5.298
-39.562,5.3
-85.625,5.302
-84.188,5.304
-56.75,5.306
-52.469,5.308
-77.562,5.31
-95.438,5.312
-89.156,5.314
-75.531,5.316
-74.469,5.318
-87.781,5.32
-95.406,5.322
-85.219,5.324
-77.438,5.326
-77.812,5.328
-70.438,5.33
-48.969,5.332
-24.344,5.334
-14.781,5.336
-20.719,5.338
-23.938,5.34
-11.969,5.342
7.0938,5.344
14.406,5.346
-7.625,5.348
-61.25,5.35
-120.91,5.352
-156.97,5.354
-149.19,5.356
-104.44,5.358
-68.062,5.36
-70.375,5.362
-77.531,5.364
-45.75,5.366
9.5938,5.368
36.375,5.37
14.469,5.372
-27.969,5.374
-53.125,5.376
-50.312,5.378
-45.5,5.38
-57.875,5.382
-73.25,5.384
-70.531,5.386
-59.5,5.388
-52,5.39
-49.094,5.392
-52.281,5.394
-61.625,5.396
-65.531,5.398
-56.875,5.4
-51.219,5.402
-60.688,5.404
-76.969,5.406
-89.062,5.408
-92.312,5.41
-79.25,5.412
-53.406,5.414
-26.938,5.416
-12.375,5.418
-28.406,5.42
-74.5,5.422
-109.69,5.424
-99.625,5.426
-54.156,5.428
-9.25,5.43
5.9688,5.432
-7.7188,5.434
-26.625,5.436
-26.125,5.438
0.4375,5.44
27.938,5.442
26.938,5.444
-4.1562,5.446
-49.219,5.448
-88.188,5.45
-105.22,5.452
-97.031,5.454
-68.156,5.456
-36.75,5.458
-26.562,5.46
-40.938,5.462
-66.625,5.464
-85.938,5.466
-78.625,5.468
-45.406,5.47
-16.469,5.472
-13,5.474
-24.562,5.476
-35.812,5.478
-45.688,5.48
-58.188,5.482
-66.906,5.484
-55.281,5.486
-24.531,5.488
-8.5938,5.49
-38.188,5.492
-96.469,5.494
-132.72,5.496
-121.44,5.498
-85.844,5.5
-59.781,5.502
-51.969,5.504
-55.625,5.506
-55.594,5.508
-38.531,5.51
-20.094,5.512
-29.688,5.514
-67.438,5.516
-92.094,5.518
-68.656,5.52
-21.531,5.522
-1.5312,5.524
-27.969,5.526
-69,5.528
-85.969,5.53
-73.188,5.532
-45.781,5.534
-20.125,5.536
-13.469,5.538
-37.062,5.54
-76.281,5.542
-95.438,5.544
-70.25,5.546
-18.219,5.548
17.812,5.55
12.969,5.552
-23.5,5.554
-62.688,5.556
-75.562,5.558
-55.688,5.56
-30.25,5.562
-25.594,5.564
-42.625,5.566
-64.719,5.568
-72.656,5.57
-66.625,5.572
-66.781,5.574
-82.812,5.576
-94.344,5.578
-76.562,5.58
-32.094,5.582
14.25,5.584
36.469,5.586
29.594,5.588
9.9375,5.59
-9.7812,5.592
-30.781,5.594
-57.281,5.596
-82.156,5.598
-96.188,5.6
-101.34,5.602
-112.16,5.604
-131.5,5.606
-142.44,5.608
-131.31,5.61
-92.344,5.612
-38.594,5.614
8.4688,5.616
31.031,5.618
25.906,5.62
10.469,5.622
-12,5.624
-49.438,5.626
-88.312,5.628
-101.44,5.63
-78.281,5.632
-39.625,5.634
-19.125,5.636
-28.5,5.638
-44.312,5.64
-46.406,5.642
-45,5.644
-58.094,5.646
-82.719,5.648
-91.375,5.65
-69.5,5.652
-36.562,5.654
-28,5.656
-60.938,5.658
-102.09,5.66
-101.91,5.662
-61.625,5.664
-15.188,5.666
13.312,5.668
9.9062,5.67
-21.688,5.672
-59.562,5.674
-83.031,5.676
-82.938,5.678
-51.438,5.68
-0.65625,5.682
37.344,5.684
35.719,5.686
-3.5938,5.688
-53.938,5.69
-93.5,5.692
-115.97,5.694
-124.56,5.696
-130,5.698
-124.16,5.7
-91.688,5.702
-47,5.704
-13.031,5.706
2.4375,5.708
1.9375,5.71
-9.0625,5.712
-24.25,5.714
-36.625,5.716
-45.5,5.718
-62.656,5.72
-96.844,5.722
-134.03,5.724
-149.47,5.726
-137.81,5.728
-110,5.73
-68.406,5.732
-14.875,5.734
33.156,5.736
53.125,5.738
44.906,5.74
23.438,5.742
-5.0312,5.744
-36.875,5.746
-58.562,5.748
-67.656,5.75
-74.125,5.752
-76.031,5.754
-62.875,5.756
-31.938,5.758
1.75,5.76
20.469,5.762
21,5.764
8.9688,5.766
-13.875,5.768
-49.5,5.77
-85.344,5.772
-99.812,5.774
-85.094,5.776
-61.531,5.778
-52.438,5.78
-59.062,5.782
-64.531,5.784
-53.438,5.786
-32.094,5.788
-18.031,5.79
-14.406,5.792
-21.875,5.794
-35.594,5.796
-42.688,5.798
-47.719,5.8
-69,5.802
-95.438,5.804
-90.25,5.806
-42.281,5.808
17.75,5.81
46.188,5.812
20.156,5.814
-38.031,5.816
-82.344,5.818
-85.906,5.82
-56.656,5.822
-25.312,5.824
-18.5,5.826
-43.625,5.828
-75.812,5.83
-71.375,5.832
-26.625,5.834
23.406,5.836
49.25,5.838
52.312,5.84
44.656,5.842
33.469,5.844
26.75,5.846
21.906,5.848
4.9375,5.85
-32.062,5.852
-77.938,5.854
-115,5.856
-129.91,5.858
-120.19,5.86
-94.5,5.862
-66.406,5.864
-51.281,5.866
-49.438,5.868
-41,5.87
-15.281,5.872
17.312,5.874
44.938,5.876
60.188,5.878
58,5.88
35.312,5.882
-7.75,5.884
-62.375,5.886
-104,5.888
-111.69,5.89
-90.094,5.892
-61.906,5.894
-40.625,5.896
-32.406,5.898
-36,5.9
-37.719,5.902
-21.656,5.904
8.4375,5.906
36.312,5.908
53.125,5.91
52.594,5.912
34.719,5.914
3.1562,5.916
-34.812,5.918
-63.062,5.92
-76.5,5.922
-80.062,5.924
-75.625,5.926
-57.156,5.928
-30,5.93
-17.75,5.932
-41.375,5.934
-77.375,5.936
-76.938,5.938
-34.781,5.94
6.2188,5.942
11.906,5.944
-10.812,5.946
-27.375,5.948
-20.406,5.95
4.5938,5.952
30,5.954
28.906,5.956
-9.1875,5.958
-60.5,5.96
-85.719,5.962
-71.406,5.964
-39.812,5.966
-16.938,5.968
-11.188,5.97
-14.125,5.972
-9.1562,5.974
8.5312,5.976
25.656,5.978
27.281,5.98
12.062,5.982
-2.9062,5.984
-5.5938,5.986
-8.4062,5.988
-23.719,5.99
-45.375,5.992
-57.688,5.994
-57.938,5.996
-57,5.998
-51.594,6
-22.969,6.002
19.625,6.004
43.938,6.006
35.344,6.008
11.156,6.01
1.125,6.012
11.406,6.014
26.125,6.016
33.75,6.018
35.781,6.02
35.281,6.022
28.719,6.024
8.0938,6.026
-32.125,6.028
-92.625,6.03
-152.47,6.032
-157.84,6.034
-95.125,6.036
-14.469,6.038
32.156,6.04
32.406,6.042
16.406,6.044
20.812,6.046
47.25,6.048
67.469,6.05
62.812,6.052
48.656,6.054
33.719,6.056
4,6.058
-50.406,6.06
-121.88,6.062
-178.47,6.064
-168.56,6.066
-85.625,6.068
10,6.07
63.906,6.072
72.281,6.074
58.031,6.076
43.594,6.078
46.281,6.08
67.625,6.082
91.344,6.084
95.406,6.086
68.375,6.088
19.75,6.09
-29.344,6.092
-64.75,6.094
-80.188,6.096
-80.875,6.098
-74.312,6.1
-67.5,6.102
-62,6.104
-56.594,6.106
-51.281,6.108
-36.844,6.11
-4.6562,6.112
36.188,6.114
68.406,6.116
81.656,6.118
70.438,6.12
44.938,6.122
23.094,6.124
14.031,6.126
18.688,6.128
24.938,6.13
18.719,6.132
1.0625,6.134
-18.406,6.136
-29.25,6.138
-21.312,6.14
9.25,6.142
44.25,6.144
63.656,6.146
63.156,6.148
46.75,6.15
23.625,6.152
12.438,6.154
26.594,6.156
51.188,6.158
64.531,6.16
57.562,6.162
37.844,6.164
14.688,6.166
-5.8438,6.168
-11.156,6.17
2.0312,6.172
14.656,6.174
19.094,6.176
27.438,6.178
42.656,6.18
53.844,6.182
53.125,6.184
47.312,6.186
46.312,6.188
53.438,6.19
66.969,6.192
74,6.194
73.344,6.196
75,6.198
80.469,6.2
89.906,6.202
104.66,6.204
117.06,6.206
122.91,6.208
117.44,6.21
91.5,6.212
50.219,6.214
16.25,6.216
4.25,6.218
-0.75,6.22
-11.938,6.222
-25.656,6.224
-31.812,6.226
-21.844,6.228
5.25,6.23
34.656,6.232
45.906,6.234
38.094,6.236
30.812,6.238
31.219,6.24
27.594,6.242
9.8125,6.244
-16.781,6.246
-43.469,6.248
-60.5,6.25
-54.812,6.252
-26.781,6.254
0.625,6.256
5.625,6.258
-6.875,6.26
-12.688,6.262
4.875,6.264
38.531,6.266
65.625,6.268
73.219,6.27
62.625,6.272
42.75,6.274
19.656,6.276
1.0938,6.278
-5.75,6.28
-6.2812,6.282
-6.4375,6.284
-10.125,6.286
-23.562,6.288
-40.656,6.29
-49.344,6.292
-51.031,6.294
-59.156,6.296
-78.812,6.298
-87.969,6.3
-59.094,6.302
-2.2188,6.304
46.875,6.306
64.531,6.308
55.906,6.31
39.219,6.312
17.812,6.314
-14.375,6.316
-37.344,6.318
-28.594,6.32
-3.0312,6.322
8.0938,6.324
-8.9688,6.326
-45.094,6.328
-71.656,6.33
-60.562,6.332
-6.125,6.334
61.75,6.336
100.28,6.338
89.812,6.34
41.25,6.342
-14.094,6.344
-43.25,6.346
-39.75,6.348
-22.812,6.35
-16.25,6.352
-25.031,6.354
-38.469,6.356
-50.844,6.358
-62.5,6.36
-61.062,6.362
-36.031,6.364
5.875,6.366
43.344,6.368
59.781,6.37
56.562,6.372
44.906,6.374
29.688,6.376
13.781,6.378
5.8125,6.38
7.5,6.382
4.6875,6.384
-20.656,6.386
-67.219,6.388
-101,6.39
-90.344,6.392
-52.562,6.394
-25.469,6.396
-18.219,6.398
-13.656,6.4
6.5938,6.402
39.688,6.404
66.219,6.406
73.781,6.408
66.844,6.41
55.812,6.412
44.719,6.414
29,6.416
9.125,6.418
-5.375,6.42
-16.188,6.422
-33.688,6.424
-59.125,6.426
-81.312,6.428
-85.438,6.43
-69.812,6.432
-55.281,6.434
-59.125,6.436
-69.469,6.438
-60.719,6.44
-29.781,6.442
-4.0938,6.444
-1,6.446
-2.5312,6.448
10.969,6.45
30.375,6.452
37.594,6.454
34.344,6.456
28,6.458
20.906,6.46
12.562,6.462
7.1562,6.464
5.3125,6.466
-1,6.468
-14.375,6.47
-21.25,6.472
-10.75,6.474
1.9062,6.476
-7.1875,6.478
-41.094,6.48
-72.25,6.482
-77.125,6.484
-59.688,6.486
-43.188,6.488
-43.656,6.49
-43.719,6.492
-20.219,6.494
24.406,6.496
70.125,6.498
94.375,6.5
86.469,6.502
58.062,6.504
31.562,6.506
18.25,6.508
10.188,6.51
