"s","time"
49.656,0.744
55.594,0.746
53.469,0.748
43.469,0.75
28.25,0.752
11.125,0.754
-3.5312,0.756
-14.156,0.758
-20.469,0.76
-23.094,0.762
-18.656,0.764
-4.125,0.766
13.938,0.768
28.281,0.77
34.781,0.772
30.438,0.774
18.562,0.776
8.4062,0.778
3.7812,0.78
1.125,0.782
-0.6875,0.784
-1.5312,0.786
-1.0312,0.788
0.4375,0.79
1.3438,0.792
-0.03125,0.794
-3.0938,0.796
-1.3438,0.798
9.6562,0.8
22.469,0.802
25.781,0.804
15.219,0.806
-2.0625,0.808
-10.188,0.81
-0.90625,0.812
18.219,0.814
32.188,0.816
32.281,0.818
24.625,0.82
18.656,0.822
17.344,0.824
19.125,0.826
23.656,0.828
29.25,0.83
30.156,0.832
20.594,0.834
2.6562,0.836
-15.344,0.838
-26.125,0.84
-27.844,0.842
-21.312,0.844
-7.6562,0.846
6.375,0.848
16.281,0.85
23.906,0.852
32.188,0.854
38.594,0.856
41.375,0.858
44.781,0.86
49.438,0.862
47.562,0.864
32.5,0.866
9.8438,0.868
-4.5938,0.87
-2.7812,0.872
8.0625,0.874
16.188,0.876
17.625,0.878
17.188,0.88
18.844,0.882
23.656,0.884
29.906,0.886
31.969,0.888
26.938,0.89
16.438,0.892
4.5312,0.894
-7.6562,0.896
-15.438,0.898
-13.031,0.9
-5.5938,0.902
-2.875,0.904
-9.7188,0.906
-21.281,0.908
-28.094,0.91
-23.656,0.912
-9.0938,0.914
6.5625,0.916
16.531,0.918
20.938,0.92
22.812,0.922
23.375,0.924
23.594,0.926
24.344,0.928
27.281,0.93
29.625,0.932
25.312,0.934
12.406,0.936
-1.0625,0.938
-4.7188,0.94
-0.15625,0.942
5.5625,0.944
10.125,0.946
14.531,0.948
18.844,0.95
19.688,0.952
12.969,0.954
-1.375,0.956
-15.781,0.958
-19.844,0.96
-13.594,0.962
-4.0938,0.964
2.4688,0.966
6.2812,0.968
11.656,0.97
20.25,0.972
31.625,0.974
41.844,0.976
48.562,0.978
50.469,0.98
45.562,0.982
33.844,0.984
18.5,0.986
4.625,0.988
-5.4375,0.99
-13.062,0.992
-17.125,0.994
-12.688,0.996
-0.3125,0.998
8.375,1
5.2812,1.002
-5.5,1.004
-15.375,1.006
-16.969,1.008
-6.5938,1.01
10.156,1.012
24.25,1.014
31.5,1.016
32.656,1.018
31.594,1.02
31.844,1.022
34.719,1.024
39.219,1.026
42.219,1.028
35.875,1.03
20.688,1.032
6.9375,1.034
3.5312,1.036
8.4062,1.038
13.594,1.04
15.719,1.042
18.156,1.044
21.688,1.046
22.531,1.048
16.875,1.05
7.5625,1.052
0.875,1.054
0.03125,1.056
4.3125,1.058
9.25,1.06
11.281,1.062
10.188,1.064
7.7812,1.066
9.4375,1.068
17.875,1.07
27.406,1.072
30.656,1.074
28,1.076
24.375,1.078
20.688,1.08
14.25,1.082
7.1562,1.084
5.875,1.086
12.281,1.088
22.281,1.09
30,1.092
30.75,1.094
23.781,1.096
11.75,1.098
0.375,1.1
-1.75,1.102
9.125,1.104
24.312,1.106
32.281,1.108
28.344,1.11
17.969,1.112
10.125,1.114
11,1.116
20.094,1.118
28.562,1.12
27.281,1.122
15.188,1.124
2.3438,1.126
0.5625,1.128
12.719,1.13
29.312,1.132
38.719,1.134
38.125,1.136
32.938,1.138
28.25,1.14
28.156,1.142
32.562,1.144
37.406,1.146
38.844,1.148
34.156,1.15
24.469,1.152
13,1.154
3.0938,1.156
-1.3438,1.158
2.7812,1.16
10.094,1.162
11.156,1.164
4.75,1.166
-1.0625,1.168
-0.625,1.17
7.6875,1.172
21.031,1.174
31.344,1.176
33.062,1.178
27.531,1.18
21.438,1.182
22.906,1.184
31.625,1.186
39.375,1.188
40.656,1.19
35.219,1.192
26.75,1.194
20.062,1.196
19.312,1.198
22.438,1.2
22.844,1.202
16.344,1.204
5.3125,1.206
-4.8438,1.208
-8.7188,1.21
-5.9062,1.212
-0.5625,1.214
4.5,1.216
9.0938,1.218
15.281,1.22
25.25,1.222
38.688,1.224
49.344,1.226
51.75,1.228
43.562,1.23
27.062,1.232
9.9688,1.234
-3.2812,1.236
-10.781,1.238
-10.062,1.24
-2.75,1.242
7.9375,1.244
16.844,1.246
21.875,1.248
26.219,1.25
31.688,1.252
38.125,1.254
42.781,1.256
42.875,1.258
35.812,1.26
23.312,1.262
11.031,1.264
3.0938,1.266
1.9062,1.268
6.8125,1.27
15.062,1.272
24.719,1.274
33.125,1.276
36.156,1.278
31.344,1.28
18.156,1.282
0.3125,1.284
-14.062,1.286
-17.219,1.288
-8.625,1.29
5.2188,1.292
17.625,1.294
26.25,1.296
34,1.298
44.531,1.3
54.094,1.302
57.875,1.304
54.906,1.306
49.594,1.308
45.875,1.31
44.281,1.312
42.312,1.314
37.375,1.316
31.344,1.318
29.75,1.32
34.594,1.322
41.656,1.324
44.375,1.326
38.969,1.328
25.406,1.33
7.5625,1.332
-6.4688,1.334
-12.594,1.336
-11.062,1.338
-3.5312,1.34
5.1562,1.342
8.1875,1.344
5.7188,1.346
4.875,1.348
9.8125,1.35
19.312,1.352
30.344,1.354
39.812,1.356
48.062,1.358
53.406,1.36
54.656,1.362
51.906,1.364
49.469,1.366
49.438,1.368
50.719,1.37
48.875,1.372
40.281,1.374
26.719,1.376
13.125,1.378
8.1562,1.38
14.438,1.382
25.406,1.384
32.312,1.386
32.5,1.388
31.188,1.39
31.719,1.392
32,1.394
26.688,1.396
14.375,1.398
-1.0312,1.4
-13.625,1.402
-16.125,1.404
-6.75,1.406
4.6562,1.408
9.7812,1.41
8.9688,1.412
9.375,1.414
16.125,1.416
27.062,1.418
37.406,1.42
44.75,1.422
46.938,1.424
40.469,1.426
23.656,1.428
3.375,1.43
-7.2188,1.432
-0.40625,1.434
18.781,1.436
37.188,1.438
43.656,1.44
38.469,1.442
30.562,1.444
28.438,1.446
33.719,1.448
40.406,1.45
39.719,1.452
28.875,1.454
14.156,1.456
4.5938,1.458
2.2188,1.46
2.7812,1.462
1.6875,1.464
1.9062,1.466
8.75,1.468
23.688,1.47
38.312,1.472
40.906,1.474
27.656,1.476
8.0625,1.478
-2.75,1.48
0.375,1.482
10.281,1.484
18.5,1.486
23.594,1.488
29.312,1.49
38.125,1.492
45.906,1.494
48.5,1.496
44.219,1.498
32.188,1.5
18.5,1.502
10.25,1.504
9.875,1.506
11.844,1.508
9.8125,1.51
4.8438,1.512
2.125,1.514
6.6562,1.516
17.188,1.518
29.062,1.52
37.125,1.522
39.219,1.524
37.312,1.526
33.625,1.528
29.969,1.53
26.719,1.532
21.812,1.534
16.781,1.536
13.344,1.538
12.938,1.54
15.812,1.542
19.969,1.544
21.219,1.546
17.062,1.548
11.438,1.55
10.656,1.552
15.875,1.554
24.469,1.556
30.094,1.558
30,1.56
23.688,1.562
12.562,1.564
3.0625,1.566
0.28125,1.568
4.4688,1.57
11.094,1.572
16.469,1.574
21.312,1.576
24.062,1.578
21.438,1.58
17.125,1.582
16.875,1.584
18.312,1.586
19.531,1.588
21.719,1.59
21.875,1.592
15.469,1.594
4.3438,1.596
-1.25,1.598
